TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WHPI,WECS,QMWT,LSGA,LSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WCFT,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,MBK,EBK,TKLV,FRZR,TDBR,MDBR,MCRT,MGAS,TCRT,TSLP,PPM,RRCA,RRCB,RRCO,WFLB
0,155.5000153,310,327.8239746,327.8232117,292.1760559,292.1767883,16515.81836,33031.63672,67,67,1915.810303,3831.620605,1915.864746,3831.565918,289.644989,62,2.97399E-06,0,0,2582.676025,1290.273438,0,23.70000076,2895,11.83000088,11.83000088,971.0827026,1942.082642,50,50,100,0,0,344.9923096,0,7.92489624,17.16834259,17.16908836,0,1.034000039,0.906761765,50,0.099999994,2.300000191,0,0,0,0,0,0,0,0,0,0,-0.0009,-0.0009,100,100,788.9000244,788.9000244,788.9000244,549.4500122,0,0,23.70000076,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.13927E-05,0.666807115,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
10,155.4675903,309.9793091,327.8056641,327.8048096,292.1571045,292.1579285,16515.81836,33031.63672,66.98616028,66.98618317,1917.184082,3834.347412,1915.845337,3831.585449,289.6225891,61.94360733,-3.52764E-06,0,0,2582.775146,1290.181152,0,23.49250984,2904.106934,11.83000946,11.83002377,970.8535156,1941.615601,49.93756104,49.93717575,100,0,0,344.9750977,0,7.92489624,17.16942787,17.17027473,0,1.034000039,0.906761765,50,0.099999994,2.292787552,0,0,0,0,9.62605092,0,0,0,0.002403994,-0.002338639,-0.0009,-0.000834645,100.3282318,100.3145752,790.3949585,790.3848877,790.3848877,550.1816406,0,0,23.49250984,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.13927E-05,14.00294971,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
20,155.4678345,309.9779968,327.8093872,327.8085327,292.1508179,292.1516724,16515.81836,33031.63672,66.98202515,66.98206329,1916.968262,3833.906494,1915.845825,3831.585205,289.6233826,61.94561768,-4.59257E-06,0,0,2582.769775,1290.159302,0,24.09280968,2902.268311,11.83028793,11.83031559,970.9849243,1941.877808,49.95352554,49.95330048,100,0,0,344.9759827,0,7.92489624,17.16657829,17.16742706,0,1.034000039,0.906761765,50,0.099999994,2.294239998,0,0,0,0,9.129564766,0,0,0,0.002557655,-0.001859375,-0.0009,-0.00020172,100.3247604,100.2510681,790.1350708,790.0805664,790.0805664,550.0293579,0,0,24.09280968,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.13927E-05,27.33909225,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
30,155.4707336,309.9787903,327.8103943,327.8096008,292.1470642,292.1478882,16515.81836,33031.63672,66.9792099,66.97924042,1917.069824,3834.101074,1915.845947,3831.585205,289.6242676,61.94784164,-4.91922E-06,0,0,2582.762207,1290.14917,0,23.86088943,2902.873047,11.83062172,11.83065987,971.1174316,1942.142456,49.95327377,49.95316696,100,0,0,344.9772644,0,7.92489624,17.16685104,17.16766357,0,1.034000039,0.906761765,50,0.099999994,2.293762207,0,0,0,0,8.411346732,0,0,0,0.002467035,-0.002017776,-0.0009,-0.000450742,100.3076553,100.2719498,790.2075195,790.1811523,790.1811523,550.0799561,0,0,23.86088943,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.13927E-05,40.67520905,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
40,155.472168,309.9780579,327.8110046,327.8101807,292.1452942,292.1461487,16515.81836,33031.63672,66.97808838,66.97811127,1917.115479,3834.176025,1915.852417,3831.578369,289.6243286,61.94802094,1.10427E-06,0,0,2582.758301,1290.143555,0,23.85664177,2903.148682,11.8309803,11.83102798,971.1323242,1942.171875,49.95574951,49.95550919,100,0,0,344.9779663,0,7.92489624,17.16695213,17.167799,0,1.034000039,0.906761765,50,0.099999994,2.293544531,0,0,0,0,8.01608597,0,0,0,0.002549775,-0.002088379,-0.0009,-0.000438604,100.3225937,100.2814713,790.2563477,790.2260132,790.2260132,550.1019897,0,0,23.85664177,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.13927E-05,54.01131439,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
50,155.4742432,309.9779968,327.8114624,327.8106079,292.1447449,292.1455994,16515.81836,33031.63672,66.97766876,66.97769928,1917.09021,3834.126221,1915.846436,3831.584229,289.625,61.94966507,-2.71699E-06,0,0,2582.752197,1290.141724,0,23.87016487,2903.103271,11.83135414,11.83141041,971.1437378,1942.194336,49.96027374,49.96039963,100,0,0,344.9790649,0,7.92489624,17.16759682,17.16844368,0,1.034000039,0.906761765,50,0.099999994,2.293580294,0,0,0,0,7.408733625,0,0,0,0.002557655,-0.002076523,-0.0009,-0.000418868,100.3224945,100.2799072,790.249939,790.2184448,790.2184448,550.0982056,0,0,23.87016487,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.13927E-05,67.34744263,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
60,155.4763489,309.9779968,327.8115234,327.8106689,292.1444092,292.1452637,16515.81836,33031.63672,66.97743988,66.97747803,1917.067261,3834.072754,1915.84314,3831.587646,289.6257019,61.95143509,1.90943E-06,0,0,2582.74585,1290.140869,0,23.85563469,2903.144287,11.83172607,11.83178997,971.151001,1942.208984,49.96434402,49.96457672,100,0,0,344.9801331,0,7.92489624,17.16861343,17.1694603,0,1.034000039,0.906761765,50,0.099999994,2.293547869,0,0,0,0,6.811021578,0,0,0,0.002557655,-0.002087204,-0.0009,-0.000429549,100.322319,100.2813187,790.2555542,790.2252197,790.2252197,550.1016235,0,0,23.85563469,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.13927E-05,80.68362427,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
70,167.9122162,321.0286255,321.2019653,321.1975098,312.9727478,312.9772034,9222.765625,18532.16406,61.56079483,61.56080246,20.15668678,40.31215668,-0.003150224,0.003150224,300.6573486,89.70401001,-1.75198E-06,0,199.8715973,2544.312012,1453.9375,0,-5.41307E-07,466.8528137,11.59911728,11.59917831,44.00488281,88.00976563,27.28369713,27.28445816,0,0,0,351.2735291,0,7.92489624,30.07158089,30.0760231,0,1.034000039,0.906761765,50,0.099999994,7.797745228,0,0,0,0,0,0,0,0,-1.439835429,0.61550349,-6.149999619,-6.974331856,5.345009327,16.12617683,390.1385803,398.104187,398.104187,359.4900513,0,0,-5.41307E-07,0.0011,0.023374574,0.032999996,0.044,7338.012695,129559.8984,0.021269055,0,3.13927E-05,94.01980591,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.558420122,0.561042905,0.560168624,0
80,163.2706604,321.8082581,323.3763123,323.3677979,318.6495972,318.6581116,4993.509766,10031,62.67005157,62.67005539,19.94719887,39.89320374,-0.003150224,0.003150224,301.4473267,91.69142151,1.17102E-06,0,0,2559.297363,1452.059326,0,-5.41307E-07,149.3625031,11.61918545,11.61924458,43.77539063,87.55078125,27.51978683,27.52053452,0,0,0,348.959137,0,7.92489624,25.58281898,25.59132957,0,1.034000039,0.906761765,50,0.099999994,13.3615694,0,0,0,0,0,0,0,0,-1.553968549,0.696767986,-6.149999619,-7.007200241,4.606692791,5.159326553,346.0993652,346.5076904,346.5076904,334.153656,0,0,-5.41307E-07,0.0011,0.025523135,0.032999996,0.044,9923.852539,153070.375,0.021269055,0,3.13927E-05,107.3559875,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.302347094,0.303678572,0.303234756,0
90,163.1937256,321.8534546,325.0857849,325.073761,318.3526611,318.3652039,2846.35083,5715.02832,63.789608,63.78961182,19.7365818,39.47201538,-0.003150224,0.003150224,301.4246521,91.63436127,-1.11581E-06,0,0,2559.438965,1441.184082,0,-5.41307E-07,125.9646606,11.63936138,11.63941765,42.65922546,85.31845093,27.75714874,27.75786972,0,0,0,348.9369202,0,7.92489624,23.85111618,23.86315346,0,1.034000039,0.906761765,50,0.099999994,8.987042427,0,0,0,0,0,0,0,0,-1.560637355,0.702778697,-6.149999619,-7.007858276,4.2298522,4.351110935,342.6017456,342.6913147,342.6913147,332.272583,0,0,-5.41307E-07,0.0011,0.027712667,0.032999996,0.044,12507.08887,176577.9531,0.021269055,0,3.13927E-05,120.6921692,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.172340885,0.173016801,0.172791496,0
