Area,No. of Bedrooms,Resale,MaintenanceStaff,Price
720,1,1,1,4850000
600,1,1,1,4500000
650,1,1,1,6700000
650,1,1,1,4500000
665,1,1,1,5000000
2000,4,1,1,17000000
1550,3,1,1,12500000
1370,3,1,1,10500000
1356,3,1,1,10500000
1680,3,1,1,15000000
980,2,1,1,8700000
1000,2,1,1,9000000
1060,2,1,1,11000000
1095,2,1,1,10500000
1155,2,1,1,9700000
1150,2,1,1,10500000
1250,2,1,1,8000000
990,2,1,1,8500000
1078,2,1,1,9300000
1150,2,1,1,9900000
1150,2,1,1,8000000
1060,2,1,1,9000000
680,1,1,1,4200000
2470,4,1,1,28000000
2100,4,1,1,40000000
2200,4,1,1,16000000
2235,4,1,1,17000000
1025,2,1,1,9500000
950,2,1,1,9500000
895,2,1,1,7500000
1114,2,1,1,8500000
1197,2,1,1,13000000
1380,2,1,1,13700000
1050,2,1,1,8000000
1240,2,1,1,10500000
1110,2,1,1,7700000
1050,2,1,1,7500000
1160,2,1,1,9000000
1078,2,1,1,9300000
555,1,1,1,6000000
650,1,1,1,6200000
600,1,1,1,5000000
650,1,1,1,6500000
700,1,1,1,5200000
646,1,1,1,4200000
560,1,1,1,5500000
670,1,1,1,5500000
740,1,1,1,6000000
636,1,1,1,5500000
680,1,1,1,4200000
1635,3,1,1,16500000
1550,3,1,1,11399999
1500,3,1,1,13500000
1850,3,1,1,22500000
2100,4,1,1,40000000
610,1,1,1,5700000
655,1,1,1,4800000
660,1,1,1,4500000
650,1,1,1,4300000
680,1,1,1,4500000
670,1,1,1,5300000
655,1,1,1,4803000
1800,3,1,1,13000000
1645,3,1,1,15500000
1395,3,1,1,13000000
1150,2,1,1,8500000
1200,2,1,1,9400000
1150,2,1,1,8000000
615,1,1,1,4500000
670,1,1,1,5300000
765,1,1,1,6000000
650,1,1,1,5600000
655,1,1,1,4803000
1760,3,1,1,17500000
1415,3,1,1,12000000
1685,3,1,1,15000000
1800,3,1,1,13000000
1650,3,1,1,16600000
1395,3,1,1,13000000
1200,2,1,1,9400000
1650,3,1,1,16600000
1395,3,1,1,13000000
1200,2,1,1,9400000
1150,2,1,1,8000000
650,1,1,1,5700000
560,1,1,1,5500000
765,1,1,1,6000000
650,1,1,1,5600000
655,1,1,1,4900000
1390,3,1,1,13500000
1590,3,1,1,22000000
1760,3,1,1,17500000
1716,3,1,1,17800000
1680,3,1,1,14000000
1050,2,1,1,7200000
1100,2,1,1,7000000
1635,3,1,1,15000000
1078,2,1,1,10000000
1760,3,1,1,17500000
1415,3,1,1,11000000
1800,3,1,1,13000000
1147,2,1,1,12500000
1197,2,1,1,13000000
1300,3,1,1,15000000
1050,2,1,1,7500000
1240,2,1,1,9500000
1160,2,1,1,9000000
650,1,1,1,6200000
650,1,1,1,5500000
600,1,1,1,5000000
550,1,1,1,5000000
550,1,1,1,5500000
650,1,1,1,4200000
700,1,1,1,5200000
646,1,1,1,4200000
650,1,1,1,6500000
740,1,1,1,6000000
570,1,1,1,5000000
670,1,1,1,5500000
680,1,1,1,4200000
636,1,1,1,5500000
640,1,1,1,4300000
1700,3,1,1,15500000
1635,3,1,1,16500000
1550,3,1,1,11399999
1530,3,1,1,12000000
1500,3,1,1,13500000
1750,3,1,1,16000000
1590,3,1,1,22000000
1415,3,1,1,11000000
1650,3,1,1,16600000
1687,3,1,1,14000000
1150,2,1,1,8500000
1050,2,1,1,7500000
555,1,1,1,6000000
600,1,1,1,4900000
646,1,1,1,4200000
650,1,1,1,6500000
650,1,1,1,4500000
740,1,1,1,6000000
670,1,1,1,5500000
640,1,1,1,4300000
650,1,1,1,5500000
1400,3,1,1,13500000
1750,3,1,1,16000000
1780,3,1,1,15000000
1415,3,1,1,11000000
1687,3,1,1,14000000
1100,2,1,1,6900000
1050,2,1,1,8300000
1160,2,1,1,9000000
700,1,1,1,5100000
625,1,1,1,5200000
646,1,1,1,4200000
670,1,1,1,5500000
550,1,1,1,5500000
650,1,1,1,6500000
650,1,1,1,5400000
660,1,1,1,5300000
550,1,1,1,5500000
570,1,1,1,5000000
1415,3,1,1,11000000
1550,3,1,1,14000000
1760,3,1,1,17100000
1750,3,1,1,16000000
1475,3,1,1,11800000
759,1,1,1,6000000
600,1,1,1,4850000
640,1,1,1,4300000
550,1,1,1,4500000
620,1,1,1,4100000
550,1,1,1,5000000
745,1,1,1,5500000
580,1,1,1,4500000
570,1,1,1,5000000
670,1,1,1,5300000
1845,3,1,1,19000000
1700,3,1,1,15500000
1400,3,1,1,13500000
1680,3,1,1,13600000
1645,3,1,1,15500000
1585,3,1,1,16500000
1350,2,1,1,8600000
1075,2,1,1,10000000
1155,2,1,1,10500000
625,1,1,1,4700000
720,1,1,1,6200000
550,1,1,1,4500000
735,1,1,1,6900000
580,1,1,1,4500000
1505,3,1,1,10000000
1630,3,1,1,13000000
1550,3,1,1,11000000
1455,3,1,1,13000000
1750,3,1,1,16000000
1098,2,1,1,10500000
1210,2,1,1,13000000
1000,2,1,1,9500000
550,1,1,1,4500000
1550,3,1,1,11000000
1550,3,1,1,11000000
1630,3,1,1,13000000
1680,3,1,1,13600000
1650,3,1,1,16200000
1440,3,1,1,15000000
1370,3,1,1,13200000
1022,2,1,1,7500000
1000,2,1,1,9500000
1760,3,1,0,15000000
1100,2,1,1,7500000
1550,3,1,1,13000000
1675,3,0,1,16200000
1060,2,1,0,11000000
1150,2,1,0,11600000
670,1,1,0,5600000
900,2,1,1,8000000
1088,2,1,1,9500000
375,1,0,0,2018000
1200,2,1,0,65000000
1717,3,0,0,45000000
750,2,1,0,16500000
525,1,1,0,2375000
1200,2,0,0,19500000
420,1,0,0,2000000
540,1,1,0,2500000
415,1,0,0,2250000
650,1,0,0,2700000
1100,2,1,1,22000000
1105,2,1,1,17000000
2600,3,0,1,43500000
700,1,0,1,4760000
1296,2,0,1,18100000
1638,3,0,1,23800000
1465,3,0,1,21200000
700,1,0,1,8600000
2030,3,0,1,36500000
1450,3,0,0,23700000
1100,2,0,1,21400000
800,2,0,1,12500000
1500,3,0,1,18000000
1100,2,0,1,13200000
1962,3,0,1,35300000
950,2,1,1,15300000
1440,3,0,1,25000000
1200,2,0,1,13899999
1785,3,0,1,33500000
775,2,0,1,14500000
765,1,0,1,9000000
910,2,0,1,13500000
640,1,0,1,9000000
1264,2,0,1,21600000
1056,2,1,1,13700000
1810,3,0,1,27799999
1656,3,1,1,27900000
3888,4,1,1,81600000
2030,3,0,1,38600000
1114,3,0,0,17000000
3585,4,0,1,60100000
1404,2,0,1,27900000
1620,3,0,1,31500000
2780,4,0,1,37500000
1672,3,1,1,31000000
1200,2,1,1,21100000
1200,2,0,1,16500000
1250,2,1,1,16000000
1840,3,1,1,26000000
1170,2,1,0,15200000
310,1,1,1,2300000
1245,3,1,0,33000000
1153,3,1,0,29000000
573,2,0,1,11200000
1100,2,1,0,9000000
1135,2,1,0,8500000
1060,2,1,0,9000000
560,1,1,0,11500000
1150,2,0,0,12100000
1054,2,0,0,11000000
1695,3,0,0,27000000
1579,3,0,0,21600000
2153,3,0,0,30200000
1872,4,0,0,41200000
1717,3,0,0,30500000
1675,4,0,1,36700000
1672,3,0,1,23800000
1457,3,0,0,20500000
425,1,1,0,5500000
560,1,1,0,9000000
1200,2,1,0,32500000
575,1,1,0,8500000
575,1,1,0,8500000
400,1,1,0,9000000
300,1,0,0,2500000
400,1,1,0,5500000
650,1,1,0,8000000
1600,3,0,0,27500000
860,1,1,0,11500000
1320,2,1,0,35900000
1200,2,1,0,42000000
1320,2,1,0,33100000
2826,3,1,0,106000000
2880,3,1,0,101400000
997,3,1,0,32500000
1038,2,0,0,18500000
600,1,1,0,11000000
400,1,1,1,9200000
2800,4,1,1,50100000
1400,3,1,1,33000000
1500,3,1,1,34100000
1412,3,1,0,21800000
1412,3,1,0,21800000
1412,3,1,0,21200000
545,1,1,0,3000000
585,1,1,1,11000000
1000,2,1,1,17900000
1050,2,1,1,19500000
1014,2,1,1,19500000
900,2,1,1,16000000
600,1,1,1,11500000
700,2,1,1,10500000
1550,3,1,0,6400000
5245,5,0,0,90000000
529,1,0,0,2100000
530,1,1,1,3600000
1260,2,1,1,9200000
1260,2,1,1,9000000
1150,2,1,1,9200000
690,1,1,1,5300000
1240,3,1,1,15500000
1260,2,1,1,9500000
1240,2,1,1,9000000
1265,2,1,0,10100000
1260,2,1,1,10800000
1255,2,1,1,11000000
1055,2,1,1,7200000
1060,2,1,1,7000000
1238,2,1,0,12700000
1150,2,1,1,8500000
1165,2,1,1,8500000
1080,2,1,1,7700000
1470,3,1,1,11000000
610,1,1,1,6000000
1180,2,1,1,9200000
1735,3,1,1,15000000
1230,2,1,1,11000000
599,1,1,1,4500000
980,2,1,1,8800000
1654,3,1,1,16500000
1665,3,1,1,16800000
1640,3,1,1,16299999
1650,3,1,1,15500000
980,2,1,1,4900000
730,1,1,1,3400000
1020,2,1,1,4800000
1075,2,1,1,6200000
1600,3,1,0,33700000
2800,4,1,1,50100000
715,1,1,0,10700000
1016,2,1,0,15000000
1000,2,1,1,18500000
1100,2,1,0,17600000
1060,2,1,1,7000000
1238,2,1,0,12700000
1150,2,1,1,8500000
1165,2,1,1,8500000
1080,2,1,1,7700000
1470,3,1,1,11000000
610,1,1,1,6000000
1180,2,1,1,9200000
1735,3,1,1,15000000
1230,2,1,1,11000000
599,1,1,1,4500000
980,2,1,1,8800000
1654,3,1,1,16500000
1665,3,1,1,16800000
1640,3,1,1,16299999
1650,3,1,1,15500000
578,1,1,1,5000000
650,1,1,1,5000000
600,1,1,1,4000000
600,1,1,1,5000000
625,1,1,1,6250000
600,1,1,1,4800000
560,1,1,1,3800000
580,1,1,1,3600000
530,1,1,1,4400000
650,1,1,1,5000000
1450,2,1,1,9000000
380,1,1,1,2600000
400,1,1,0,2600000
620,2,1,1,21000000
980,2,1,1,4900000
730,1,1,1,3400000
1020,2,1,1,4800000
1075,2,1,1,6200000
1038,2,0,0,18500000
1250,2,0,1,19600000
1067,2,0,1,18600000
1200,2,0,0,21500000
780,2,0,0,11000000
1020,2,0,1,13799999
671,1,0,0,14000000
1650,3,1,1,22000000
1360,2,1,0,14500000
1600,3,1,0,25000000
1250,2,1,0,11500000
750,1,1,1,4000000
450,1,0,0,2500000
410,1,0,0,2300000
1168,2,0,0,45000000
516,1,0,0,5700000
900,1,1,1,9600000
600,1,0,0,2010000
575,1,0,0,2005000
675,1,0,0,2548000
660,1,0,0,2492000
640,1,0,0,2418000
690,1,0,0,2400000
900,2,0,1,21700000
1150,2,1,1,16700000
350,1,1,1,2900000
950,2,1,1,11500000
900,2,0,1,21700000
620,1,1,1,4000000
980,2,1,1,6400000
950,2,1,1,6900000
890,2,1,1,7500000
619,1,1,1,5425000
710,1,1,1,5700000
887,2,1,1,7100000
1005,2,1,1,7800000
950,2,1,1,5900000
660,1,1,1,6200000
650,1,1,1,5500000
650,1,1,1,5000000
638,1,1,1,4050000
675,2,1,1,5050000
890,2,1,1,7400000
1006,2,1,1,6800000
420,1,1,1,3000000
850,1,1,1,5200000
1005,2,1,1,6700000
900,2,1,1,6900000
940,2,1,1,7950000
620,1,1,1,5460000
650,2,1,1,4950000
1000,2,1,1,7000000
1100,2,1,1,8575000
600,1,1,1,4800000
350,1,1,1,2700000
940,2,1,1,7900000
900,2,1,1,36000000
700,2,1,0,35000000
850,2,1,1,30000000
800,2,1,0,35000000
800,2,1,0,35000000
770,1,0,0,2100000
989,2,0,0,14500000
1550,3,1,0,14900000
550,1,1,1,3700000
416,1,1,1,2700000
510,1,1,1,3850000
305,1,1,1,2850000
1251,2,1,1,12100000
989,2,1,1,6800000
850,2,1,1,6000000
989,2,1,1,6850000
900,2,1,1,5500000
1500,3,1,1,9200000
650,1,1,1,5000000
1750,3,1,1,17500000
1240,2,1,1,9400000
1560,3,1,1,16500000
640,1,1,1,3700000
350,1,1,1,2700000
1050,2,1,1,8000000
1770,3,1,1,22000000
1230,2,1,0,10200000
450,1,1,1,3100000
655,1,1,1,5500000
780,2,0,0,32799999
780,2,0,0,32799999
550,1,1,0,11000000
510,1,1,0,12000000
1270,2,1,0,17000000
558,1,0,0,2900000
1237,3,0,0,36100000
715,1,0,1,3682000
1179,2,0,1,11600000
495,1,0,0,2100000
570,1,0,0,2700000
575,1,0,0,3600000
675,1,0,0,2865000
634,1,0,0,2374000
580,1,1,1,5200000
1185,3,1,0,14000000
2665,3,1,0,62500000
1305,3,1,0,26500000
995,2,1,0,13000000
1014,2,0,1,10600000
756,2,1,1,11000000
1237,3,0,0,36100000
715,1,0,1,3682000
575,1,0,0,3600000
675,1,0,0,2865000
1179,2,0,1,11600000
495,1,0,0,2100000
570,1,0,0,2700000
670,1,0,1,3985000
500,1,1,0,2200000
500,1,1,0,2300000
673,1,0,0,2650000
650,1,1,1,4600000
634,1,0,0,2374000
735,1,0,0,5000000
952,2,0,0,7200000
1141,3,0,0,72000000
1150,2,1,0,6100000
1250,2,0,0,18500000
650,1,0,1,4700000
690,1,0,1,4100000
670,1,0,1,4000000
654,1,0,1,4300000
630,1,0,1,3950000
635,1,0,1,3850000
1750,3,0,0,22500000
1250,2,0,0,17000000
687,1,0,0,6000000
1310,2,0,1,11100000
690,1,0,1,3500000
1070,2,1,1,5200000
540,1,0,0,5800000
1135,2,0,1,6200000
3000,4,1,1,27500000
1500,3,1,0,15500000
1440,2,1,0,13799999
704,1,0,1,3400000
688,1,0,1,3500000
667,1,1,0,5200000
625,1,0,1,2400000
650,1,1,1,4900000
1310,2,0,1,11100000
690,1,0,1,3500000
1070,2,1,1,5200000
540,1,0,0,5800000
1135,2,0,1,6200000
3000,4,1,1,27500000
1500,3,1,0,15500000
1440,2,1,0,13799999
704,1,0,1,3400000
688,1,0,1,3500000
667,1,1,0,5200000
625,1,0,1,2400000
650,1,1,1,4900000
610,1,0,1,4500000
1560,3,0,1,14500000
1150,2,0,1,8200000
2130,3,1,1,29500000
665,1,0,1,4900000
1155,2,0,1,5000000
1120,2,0,1,5300000
1000,2,0,1,7000000
690,1,0,1,3588000
655,1,0,1,3800000
655,1,1,1,3500000
650,1,1,1,3700000
1220,2,0,1,8500000
700,1,0,1,4900000
547,1,0,0,5400000
1435,3,0,0,60100000
650,1,0,1,3000000
665,1,0,0,3650000
690,1,0,1,4200000
675,1,0,1,3001000
1250,2,0,0,6800000
625,1,0,0,3300000
530,1,0,1,2850000
395,1,0,1,2100000
1090,2,0,1,6300000
1010,2,0,1,6400000
1010,2,0,1,6000000
547,1,0,0,5400000
1435,3,0,0,60100000
650,1,0,1,3000000
665,1,0,0,3650000
690,1,0,1,4200000
675,1,0,1,3001000
952,2,0,0,7200000
1150,2,1,0,6100000
568,2,0,1,4000000
1107,3,0,0,7500000
605,1,0,0,2580000
850,2,0,0,3594000
778,2,0,1,5760000
802,2,0,1,6952000
570,1,0,0,2451000
829,2,0,1,6137000
710,1,1,1,5600000
1227,3,0,1,8600000
1108,3,0,1,8100000
1032,2,0,1,8100000
985,2,0,1,7500000
880,2,0,1,6800000
829,2,0,1,6200000
802,2,0,1,5600000
709,2,0,1,6000000
534,1,0,1,4100000
965,2,0,1,4800000
730,1,0,1,3700000
930,2,0,1,4600000
650,1,0,1,3350000
2350,4,1,1,85000000
650,1,0,1,6500000
1462,3,0,1,18000000
676,1,0,1,8500000
2904,4,0,1,125000000
1500,2,1,1,80000000
1638,3,0,0,28800000
1701,3,0,0,30000000
2376,3,0,0,45100000
2061,3,0,0,39200000
1431,2,0,0,25400000
1050,2,0,0,15200000
1260,2,0,0,20000000
1404,2,0,1,29000000
1200,3,0,0,30000000
1413,2,0,1,46500000
2016,3,0,0,33400000
574,1,1,0,2035000
507,1,1,0,8500000
1151,2,1,1,12500000
550,2,1,1,6600000
565,2,1,1,6900000
